station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2019-05-28 00:00:00,5,93.8,16905.0,-65.2,-94.7,282.0,39,89.0,35.0
KILN,2019-05-28 00:00:00,6,93.5,16928.0,M,M,282.0,39,89.0,35.0
KILN,2019-05-28 00:00:00,5,89.7,17182.0,-64.3,-94.0,299.0,33,89.0,35.0
KILN,2019-05-28 00:00:00,6,89.2,17215.0,M,M,301.0,32,89.0,35.0
KILN,2019-05-28 00:00:00,6,85.0,17507.0,M,M,313.0,24,89.0,36.0
KILN,2019-05-28 00:00:00,6,81.1,17791.0,M,M,303.0,15,90.0,36.0
KILN,2019-05-28 00:00:00,5,81.0,17796.0,-66.6,-95.7,304.0,14,90.0,36.0
KILN,2019-05-28 00:00:00,5,78.7,17971.0,-65.3,-94.7,314.0,14,90.0,36.0
KILN,2019-05-28 00:00:00,6,77.2,18091.0,M,M,310.0,11,90.0,36.0
KILN,2019-05-28 00:00:00,5,76.7,18127.0,-66.0,-95.2,307.0,10,90.0,36.0
KILN,2019-05-28 00:00:00,5,74.5,18309.0,-64.1,-93.9,237.0,5,90.0,36.0
KILN,2019-05-28 00:00:00,6,73.5,18395.0,M,M,234.0,7,90.0,36.0
KILN,2019-05-28 00:00:00,5,72.3,18494.0,-65.2,-94.7,242.0,8,90.0,36.0
KILN,2019-05-28 00:00:00,5,70.9,18613.0,-63.0,-93.1,245.0,9,90.0,36.0
KILN,2019-05-28 00:00:00,4,70.0,18692.0,-63.2,-93.2,251.0,12,90.0,36.0
KILN,2019-05-28 00:00:00,6,69.9,18700.0,M,M,252.0,12,90.0,36.0
KILN,2019-05-28 00:00:00,6,66.7,18987.0,M,M,283.0,20,90.0,36.0
KILN,2019-05-28 00:00:00,5,64.5,19186.0,-64.5,-94.2,317.0,18,90.0,37.0
KILN,2019-05-28 00:00:00,6,63.7,19267.0,M,M,332.0,14,90.0,37.0
KILN,2019-05-28 00:00:00,6,60.7,19560.0,M,M,347.0,5,90.0,37.0
KILN,2019-05-28 00:00:00,5,59.1,19727.0,-60.7,-91.4,31.0,7,90.0,37.0
KILN,2019-05-28 00:00:00,6,57.7,19876.0,M,M,78.0,4,90.0,37.0
KILN,2019-05-28 00:00:00,6,54.9,20187.0,M,M,20.0,5,91.0,37.0
KILN,2019-05-28 00:00:00,6,52.3,20490.0,M,M,102.0,4,91.0,37.0
KILN,2019-05-28 00:00:00,4,50.0,20773.0,-59.6,-90.6,83.0,6,91.0,36.0
KILN,2019-05-28 00:00:00,6,49.8,20794.0,M,M,83.0,6,91.0,36.0
KILN,2019-05-28 00:00:00,6,47.4,21107.0,M,M,28.0,7,91.0,36.0
KILN,2019-05-28 00:00:00,6,45.0,21431.0,M,M,65.0,10,91.0,36.0
KILN,2019-05-28 00:00:00,6,42.8,21744.0,M,M,68.0,7,91.0,36.0
KILN,2019-05-28 00:00:00,5,41.7,21903.0,-58.8,-90.1,66.0,6,91.0,36.0
KILN,2019-05-28 00:00:00,6,40.8,22043.0,M,M,40.0,7,91.0,36.0
KILN,2019-05-28 00:00:00,6,38.8,22358.0,M,M,55.0,10,91.0,36.0
KILN,2019-05-28 00:00:00,6,36.8,22694.0,M,M,59.0,11,91.0,36.0
KILN,2019-05-28 00:00:00,5,36.1,22817.0,-56.2,-88.2,52.0,14,91.0,36.0
KILN,2019-05-28 00:00:00,6,34.9,23026.0,M,M,48.0,13,92.0,36.0
KILN,2019-05-28 00:00:00,6,33.3,23339.0,M,M,76.0,13,92.0,35.0
KILN,2019-05-28 00:00:00,6,31.7,23655.0,M,M,97.0,9,92.0,35.0
KILN,2019-05-28 00:00:00,6,30.1,23984.0,M,M,81.0,9,92.0,35.0
KILN,2019-05-28 00:00:00,4,30.0,24001.0,-55.2,-87.5,82.0,9,92.0,35.0
KILN,2019-05-28 00:00:00,6,28.5,24323.0,M,M,99.0,9,92.0,35.0
KILN,2019-05-28 00:00:00,6,27.1,24658.0,M,M,61.0,11,92.0,35.0
KILN,2019-05-28 00:00:00,6,25.7,24991.0,M,M,73.0,13,92.0,34.0
KILN,2019-05-28 00:00:00,6,24.4,25339.0,M,M,64.0,11,92.0,34.0
KILN,2019-05-28 00:00:00,6,23.1,25695.0,M,M,52.0,13,93.0,34.0
KILN,2019-05-28 00:00:00,6,21.9,26038.0,M,M,61.0,15,93.0,34.0
KILN,2019-05-28 00:00:00,6,20.8,26366.0,M,M,42.0,18,93.0,34.0
KILN,2019-05-28 00:00:00,4,20.0,26615.0,-51.0,-84.6,56.0,21,93.0,33.0
KILN,2019-05-28 00:00:00,6,19.7,26705.0,M,M,62.0,22,94.0,33.0
KILN,2019-05-28 00:00:00,6,18.6,27081.0,M,M,74.0,18,94.0,33.0
KILN,2019-05-28 00:00:00,6,17.5,27469.0,M,M,82.0,18,94.0,33.0
KILN,2019-05-28 00:00:00,5,16.6,27794.0,-49.4,-83.5,86.0,17,94.0,32.0
KILN,2019-05-28 00:00:00,6,16.5,27822.0,M,M,88.0,17,94.0,32.0
KILN,2019-05-28 00:00:00,6,15.8,28150.0,M,M,97.0,14,94.0,32.0
KILN,2019-05-28 00:00:00,5,15.4,28324.0,-46.6,-81.5,102.0,13,94.0,32.0
KILN,2019-05-28 00:00:00,6,15.0,28492.0,M,M,85.0,11,94.0,32.0
KILN,2019-05-28 00:00:00,5,14.2,28823.0,-47.1,-81.8,113.0,12,94.0,32.0
KILN,2019-05-28 00:00:00,6,14.1,28878.0,M,M,123.0,11,94.0,32.0
KILN,2019-05-28 00:00:00,6,13.3,29263.0,M,M,198.0,5,94.0,31.0
KILN,2019-05-28 00:00:00,5,13.0,29426.0,-44.5,-80.0,206.0,1,94.0,31.0
KILN,2019-05-28 00:00:00,6,12.6,29624.0,M,M,73.0,7,94.0,31.0
KILN,2019-05-28 00:00:00,5,12.5,29703.0,-45.4,-80.7,65.0,6,94.0,31.0
KILN,2019-05-28 00:00:00,6,12.0,29976.0,M,M,52.0,5,94.0,31.0
KILN,2019-05-28 00:00:00,5,11.3,30347.0,-41.9,-78.2,36.0,10,94.0,31.0
KILN,2019-05-28 00:00:00,6,11.2,30369.0,M,M,36.0,10,94.0,31.0
KILN,2019-05-28 00:00:00,6,10.6,30781.0,M,M,37.0,13,94.0,31.0
KILN,2019-05-28 00:00:00,5,10.3,31006.0,-42.5,-78.6,62.0,7,95.0,31.0
KILN,2019-05-28 00:00:00,6,10.1,31164.0,M,M,71.0,7,95.0,31.0
KILN,2019-05-28 00:00:00,4,10.0,31219.0,-41.2,-77.7,68.0,7,95.0,31.0
KILN,2019-05-28 00:00:00,6,9.6,31474.0,M,M,43.0,7,95.0,31.0
KILN,2019-05-28 00:00:00,6,9.2,31768.0,M,M,29.0,11,95.0,31.0
KILN,2019-05-28 00:00:00,5,9.0,31941.0,-37.4,-75.1,31.0,13,95.0,31.0
KILN,2019-05-28 00:00:00,6,8.8,32098.0,M,M,41.0,9,95.0,31.0
KILN,2019-05-28 00:00:00,6,8.3,32502.0,M,M,65.0,6,96.0,31.0
KILN,2019-05-28 00:00:00,5,8.0,32755.0,-37.0,-74.9,75.0,5,96.0,31.0
KILN,2019-05-28 00:00:00,5,7.8,32859.0,-37.2,-75.0,87.0,4,96.0,30.0
